code,name,description
CHEM_V 402,Diffraction Methods,"Crystal structures; point and space groups; X-ray diffraction, neutron diffraction, electron diffraction of gases and surfaces. Credit will be granted for only one of CHEM 402 or CHEM 514. [3-0-0] Prerequisite: CHEM 208."
CHEM_V 403,Surface Chemistry and Surface Analysis,"Surfaces and phenomena occurring at surfaces and interfaces: adsorption, thermodynamic treatments, technological applications. Methods for characterization and modification of surfaces. Dynamic electrochemistry and its application to understanding fuel cells. [3-0-0] Prerequisite: CHEM_V 304 and one of MATH_V 200, MATH_V 217, MATH_V 226, MATH_V 253."
CHEM_V 404,Computational Chemistry,"Application of numerical techniques to study chemical systems; molecular simulation. Prior computer programming experience is not required. [3-0-1]. Prerequisite: Either (a) SCIE_V 001 or (b) one of CHEM_V 123, CHEM_V 130, CHEM_V 154 and one of PHYS_V 106, PHYS_V 107, PHYS_V 108, PHYS_V 117, PHYS_V 118, PHYS_V 170 and one of MATH_V 101, MATH_V 103, MATH_V 105, MATH_V 121 and Third-year standing.This course is not eligible for Credit/D/Fail grading."
CHEM_V 405,Biophysical Chemistry,"Interactions of macromolecules in solution: ligand, antibody and ion binding to macromolecules; thermodynamics of polymer solutions; excluded volume effects; phase separation; partition in two phase polymer solutions. [3-0-0] Prerequisite: One of CHEM 304, CHEM 305, PHYS 203."
CHEM_V 406,Polymer Chemistry,"Structure and availability of monomers; Propagation mechanisms; synthesis of polymers with predetermined properties; measurement and interpretation of physical properties of polymers. [3-0-0] Prerequisite: One of CHEM 213, CHEM 260 and one of CHEM 205, CHEM 304, CHBE 220."
CHEM_V 407,Statistical Mechanics in Chemistry,"Introductory concepts of statistical mechanics and statistical thermodynamics. Applications to chemistry with emphasis on understanding chemical reactivity. Credit will be granted for only one of CHEM 503/CHEM 407 or PHYS 455. [3-0-0] Prerequisite: One of CHEM 304, PHYS 203."
CHEM_V 408,Chemical Dynamics,"Macroscopic and microscopic kinetics; photochemistry; theory of reaction rates; reaction cross sections, energy distributions, experimental methods. Credit will be granted for only one of CHEM 408 or CHEM 508. [3-0-0] Prerequisite: One of CHEM 304, PHYS 203 and one of CHEM 312, PHYS 304."
CHEM_V 409,Astrochemistry,"Application of physical chemistry concepts and principles to the study of molecules in interstellar media and celestial bodies. Credit will be granted for only one of CHEM 409 or CHEM 509. [3-0-0] Prerequisite: One of CHEM 312, PHYS 304. Students with CHEM 205 with a minimum grade of 76% may be admitted with permission of the instructor."
CHEM_V 410,Properties of Materials,"Electromagnetic, optical, thermal and mechanical properties, and chemical reactivity of solids; electrons in periodic systems: bands, zones; excitations: excitons, phonons, plasmons, polaritons; crystalline order and disorder; ionic conductivity. Credit will be granted for only one of CHEM 410 or CHEM 502. [3-0-0] Prerequisite: One of CHEM 304, PHYS 203 and one of CHEM 312, PHYS 304."
CHEM_V 411,Synthesis and Chemistry of Natural Products,"Methods and tactics for the synthesis of biologically active natural products and analogs, particularly alkaloids, polyketides, steroids and terpenes. Credit will be granted for only one of CHEM 411 or CHEM 566. [3-0-0] Prerequisite: CHEM 460."
CHEM_V 412,Electronic Structure of Atoms and Molecules,"Introduction to variational methods; many-electron systems; semi-empirical methods; perturbation theory; computational methods. [3-0-0] Prerequisite: One of CHEM_V 312, PHYS_V 304 and one of MATH_V 111, MATH_V 131, MATH_V 152, MATH_V 221, MATH_V 223."
CHEM_V 413,Bioorganic Chemistry,"Enzyme catalysis; mechanistic enzymology; chemistry of cofactors; biosynthetic transformations; natural product biosynthesis; topics in chemical biology. Credit will be granted for only one of CHEM_V 413, CHEM_V 569, or BIOC_V 403. [3-0-0] Prerequisite: One of CHEM_V 313, CHEM_V 330."
CHEM_V 414,Coordination Chemistry of the Transition Elements,Molecular and electronic structures and reactivities of coordination compounds of the transition elements. Credit will be granted for only one of CHEM 414 or CHEM 525. [3-0-0] Prerequisite: CHEM 218.
CHEM_V 416,Physical and Theoretical Organic Chemistry,"Energetics and catalysis in organic reactions. Pericyclic reactions. Substituent effects. Linear free energy relationships. Credit will be granted for only one of CHEM_V 416 or CHEM_V 563. [3-0-0] Prerequisite: One of CHEM_V 313, CHEM_V 330."
CHEM_V 417,Nuclear Chemistry and Radiochemistry,"Basic treatment of the nucleus, with analogy to concepts in chemistry. Nuclear stabilities and associated radioactive decay processes. Nuclear structure. Applications of radioisotopes in chemistry. The interaction of radiation with matter. [3-0-0] Prerequisite: One of CHEM 123, CHEM 130. and Third year standing. CHEM 312 is recommended."
CHEM_V 418,Organometallic Chemistry,The chemistry of compounds containing organic groups directly bonded to metals and metalloids. Emphasis will be placed on the structure and bonding of the compounds and their use in synthetic chemistry. Credit will be granted for only one of CHEM 418 or CHEM 524. [3-0-0] Prerequisite: CHEM 318.
CHEM_V 419,Establishing a Career in Chemical Research,"Current research and career perspectives in chemistry. Restricted to Honours students with fourth year standing and, with permission of the department Head, to Major students with satisfactory fourth year standing. [1-0-0.5].This course is not eligible for Credit/D/Fail grading."
CHEM_V 427,Applications of Materials Chemistry,"Contemporary materials chemistry, including design and synthesis of materials for energy, electronics, and health applications. [3-0-0] Prerequisite: CHEM 327."
CHEM_V 430,Developments in Contemporary Chemistry,A review of modern developments in general chemistry for teachers of Secondary School chemistry (Not for credit in the Faculty of Science). Course is offered periodically in extra-sessional sessions.
CHEM_V 434,Principles of Chemical Separation,Unified theory of separation science; liquid and gas chromatography; capillary electrophoresis; electrochemical and spectroscopic detection; separation methods coupled with mass spectrometry and tandem mass spectrometry; biochemical applications. Credit will be granted for only one of CHEM 434 or CHEM 534. [3-0-0] Prerequisite: CHEM 311.
CHEM_V 435,Bio-Inorganic Chemistry,"A discussion of the involvement of inorganic chemistry in biological systems. Chemistry of cations, metalloenzymes, and simpler model systems. Reactions of coordinated ligands, chemistry of sulfur and phosphorus. Credit will be granted for only one of CHEM 435 or CHEM 526. [3-0-0] Prerequisite: All of CHEM 218, CHEM 304."
CHEM_V 445,Projects in Experimental Chemistry,"Principles of experimental design, practice and problem solving in chemistry, including the opportunity to pursue projects in a research setting. Students cannot take both CHEM_V 445 and CHEM_V 449. [0-8-0] Prerequisite: One of CHEM_V 345, CHEM_V 335. Students satisfying the prerequisite requirement using CHEM_V 335 must have 4th-year class standing in a Chemistry Combined Major specialization."
CHEM_V 448,Directed Studies in Chemistry,Students will undertake an investigation of a specific topic as agreed upon by the student and the faculty supervisor. Open to third- and fourth-year chemistry students.
CHEM_V 449,Seminar and Thesis,Original research work under the direction of a faculty member. Weekly seminar. Required of all Honours students. Open to Majors students with a satisfactory standing and permission of the department head. Students cannot take both CHEM_V 445 and CHEM_V 449. Prerequisite: Students will have completed their Year 3 laboratory requirements as outlined in their specialization.
CHEM_V 460,Organic Synthesis: A Mechanistic Approach,"Presentation, mechanistic discussion and analysis of modern synthetic methods using principles of physical organic chemistry. Credit will be granted for only one of CHEM 460 or CHEM 560. [3-0-0] Prerequisite: CHEM 330."
CHEM_V 461,Synthetic Chemical Biology,"Synthetic, mechanistic, and biochemical approaches to chemical biology, including the design of drugs, probes, and catalysts. Credit will be granted for only one of CHEM_V 461 or CHEM_V 561. [3-0-0]. Prerequisite: One of CHEM_V 313, CHEM_V 330.This course is not eligible for Credit/D/Fail grading."
CHEM_V 473,Structure Determination and Reaction Analysis,"Application of mass spectrometry and modern spectroscopic techniques, including multidimensional NMR spectroscopy, to reaction analysis and detailed characterization of complex organic and organometallic molecular structures. [3-0-0] Prerequisite: CHEM 245 and one of CHEM 313, CHEM 318, CHEM 330."
CHEM_V 488,Topics in Chemistry,Selected topics in a specific area of Chemistry. May be taken more than once for credit with permission of the Department. [3-0-0] Prerequisite: Third-year standing in a Chemistry specialization and permission of the Department.
CHEM_V 498,Co-operative Work Placement III,Approved and supervised technical work experience in an industrial research setting for a minimum of 3.5 months. Taken during the summer following fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Chemistry. Prerequisite: CHEM_V 399.This course is not eligible for Credit/D/Fail grading.
CHEM_V 499,Co-operative Work Placement IV,Approved and supervised technical work experience in an industrial research setting for a minimum of 3.5 months. Taken during the fall term of the fifth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Chemistry. Prerequisite: [CHEM498]
CHEM_V 501,Applications of Quantum Mechanics in Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 502,Advanced Physical Chemistry of the Solid State,Credit will be granted for only one of CHEM_V 502 or CHEM_V 410.This course is not eligible for Credit/D/Fail grading.
CHEM_V 503,Equilibrium Statistical Mechanics in Chemistry,"Introductory principles of Statistical Mechanics with illustrations of chemical importance. Applications to molecular gases, liquids, solids, independent particle statistics, electric and magnetic moments, radiation, chemical equilibrium and reaction rates. Credit will be granted for only one of CHEM_V 407, CHEM_V 503 or PHYS_V 455.This course is not eligible for Credit/D/Fail grading."
CHEM_V 506,Polymer Chemistry,Credit will be granted for only one of CHEM_V 506 or CHEM_V 406.This course is not eligible for Credit/D/Fail grading.
CHEM_V 507,Topics in Physical and Theoretical Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 508,Chemical Kinetics and Reaction Dynamics,"Macroscopic and microscopic kinetics; transition state theory; collision theory and reaction cross section, energy distributions, molecular beams and experimental techniques. Credit will be granted for only one of CHEM 408_V or CHEM_V 508.This course is not eligible for Credit/D/Fail grading."
CHEM_V 509,Astrochemistry,Credit will be granted for only one of CHEM 509 or CHEM 409. [3-0-0]This course is not eligible for Credit/D/Fail grading.
CHEM_V 512,Advanced Electronic Structure Theory,This course is not eligible for Credit/D/Fail grading.
CHEM_V 513,Surface Chemistry,"Chemistry of the solid-gas interface: Modern methods for investigation of the structure of solid surfaces and interactions between solid surfaces and gases. Theory of adsorption, surface reactivity, and heterogeneous catalysis.This course is not eligible for Credit/D/Fail grading."
CHEM_V 514,Crystal Structures,Crystal structures and structural analysis by the methods of X-ray diffraction and neutron diffraction. Credit will be granted for only one of CHEM_V 402 or CHEM_V 514.This course is not eligible for Credit/D/Fail grading.
CHEM_V 516,Topics in Biophysical Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 517,Electrochemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 518,Topics in Magnetic Resonance,This course is not eligible for Credit/D/Fail grading.
CHEM_V 519,Topics in Molecular Spectroscopy,This course is not eligible for Credit/D/Fail grading.
CHEM_V 521,Topics in Inorganic Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 524,Advanced Applications in Organometallic Chemistry,Credit will be granted for only one of CHEM_V 418 or CHEM_V 524.This course is not eligible for Credit/D/Fail grading.
CHEM_V 525,Advanced Coordination Chemistry,Credit will be granted for only one of CHEM_V 525 or CHEM_V 414.This course is not eligible for Credit/D/Fail grading.
CHEM_V 526,Bioinorganic Chemistry,Inorganic aspects of biological chemistry; emphasis on the role of metal ions and metalloenzymes. Credit will be granted for only one of CHEM_V 526 or CHEM_V 435.This course is not eligible for Credit/D/Fail grading.
CHEM_V 527,Nanomaterials,This course is not eligible for Credit/D/Fail grading.
CHEM_V 528,Nanomaterials Characterization,This course is not eligible for Credit/D/Fail grading.
CHEM_V 529,Structural Methods in Inorganic Chemistry,"NMR, ESR, mass spectrometry, photoelectron spectroscopy (Auger, UV, X-Ray), Mossbauer spectroscopy, electrochemistry.This course is not eligible for Credit/D/Fail grading."
CHEM_V 533,Bioanalytical Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 534,Principles of Chemical Separation,Credit will be granted for only one of CHEM_V 534 or CHEM_V 434.This course is not eligible for Credit/D/Fail grading.
CHEM_V 535,Topics in Analytical Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 540,Seminar in Chemistry,Pass/Fail.This course is not eligible for Credit/D/Fail grading.
CHEM_V 548,Research Conference,Attendance is compulsory for all graduate students in each year of registration for the M.Sc. or Ph.D. in chemistry. No credit value.This course is not eligible for Credit/D/Fail grading.
CHEM_V 549,M.Sc. Thesis,This course is not eligible for Credit/D/Fail grading.
CHEM_V 560,Organic Chemistry: Building Molecules and Understanding Reactivity,Credit will be granted for only one of CHEM_V 460 or CHEM_V 560.This course is not eligible for Credit/D/Fail grading.
CHEM_V 561,Advanced Chemical Biology,Credit will be granted for only one of CHEM_V 461 and CHEM_V 561.This course is not eligible for Credit/D/Fail grading.
CHEM_V 563,Advanced Physical Organic Chemistry,"Discussion of acidity functions, photochemistry and reactive intermediates in organic chemistry. Applications of molecular orbital theory to organic systems. Credit will be granted for only one of CHEM_V 563 or CHEM_V 416.This course is not eligible for Credit/D/Fail grading."
CHEM_V 566,Advanced Organic Synthesis,Discussion of modern synthetic methods and applications to the synthesis of complex organic molecules. Credit will be granted for only one of CHEM_V 566 or CHEM_V 411.This course is not eligible for Credit/D/Fail grading.
CHEM_V 568,Topics in Organic Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 569,Advanced Bioorganic Chemistry,"Credit will be granted for only one of CHEM_V 569, CHEM_V 413, or BIOC_V 403.This course is not eligible for Credit/D/Fail grading."
CHEM_V 573,Application of Spectroscopy to Organic Structural Determinations,"A problem solving course to illustrate the application of NMR, mass spectrometry, ORD, CD, etc. to elucidation of structures of organic and organometallic compounds.This course is not eligible for Credit/D/Fail grading."
CHEM_V 588,Topics in Chemistry,This course is not eligible for Credit/D/Fail grading.
CHEM_V 649,Doctoral Dissertation,This course is not eligible for Credit/D/Fail grading.
COGS_V 200,Introduction to Cognitive Systems,"Interdisciplinary examination of human mental processes and how these are mediated by the brain. Will draw on cognitive psychology, linguistics, cognitive neuroscience, philosophy, artificial intelligence. [3-0-0] Prerequisite: 2nd-year class standing or higher in the Faculty of Arts or Science."
COGS_V 300,Understanding and Designing Cognitive Systems,"Theory and methods for integrating diverse disciplinary content in cognitive systems. Students who have earned four credits from COGS_V 300A may take COGS_V 300B for a further four credits, and vice versa. [3-2-0] Prerequisite: COGS_V 200; CPSC_V 110 or CPSC_V 103."
COGS_V 303,Research Methods in Cognitive Systems,Examination and comparison of the research methodologies of different disciplines relevant to cognitive systems. [3-0-0] Prerequisite: COGS 200.
COGS_V 401,Seminar in Cognitive Systems,"Interdisciplinary seminar integrating theory, methods, and current research topics. [1-0-4] Prerequisite: COGS 300."
COGS_V 402,Research in Cognitive Systems,Supervised research project in a Cognitive Systems-related laboratory. [0-9-0] Prerequisite: COGS 300. COGS 401 is recommended.
CPSC_V 100,Computational Thinking,"Meaning and impact of computational thinking. Solving problems using computational thinking, testing, debugging. How computers work. No prior computing experience required. Not for students with existing credit for or exemption from CPSC 107, CPSC 110 or APSC 160. [3-1-0]"
CPSC_V 103,Introduction to Systematic Program Design,"Computation as a tool for systematic problem solving in non-computer-science disciplines. Introductory programming skills. Not for credit for students who have credit for, or exemption from, or are concurrently taking CPSC 110 or APSC 160. No programming experience expected. [3-0-1]"
CPSC_V 107,Systematic Program Design,Fundamental computation and program structures. Continuing systematic program design from CPSC 103. [3-2-0] Prerequisite: CPSC 103.
CPSC_V 110,"Computation, Programs, and Programming","Fundamental program and computation structures. Introductory programming skills. Computation as a tool for information processing, simulation and modelling, and interacting with the world. [3-3-0]"
CPSC_V 121,Models of Computation,"Physical and mathematical structures of computation. Boolean algebra and combinations logic circuits; proof techniques; functions and sequential circuits; sets and relations; finite state machines; sequential instruction execution. [3-2-1] Prerequisite: Principles of Mathematics 12 or Pre-calculus 12. Corequisite: One of CPSC 107, CPSC 110."
CPSC_V 203,"Programming, Problem Solving, and Algorithms","Analysis of increasingly complex algorithmic problems, using a modern programming language and a variety of approaches. Problem decomposition and abstraction guide explorations of topics from applied algorithms, for example Voronoi Diagrams, Markov Chains, Bin Packing, and Graph Search. Not for students with credit for, or currently enrolled in, CPSC 210 or CPEN 221. [3-0-1] Prerequisite: One of CPSC 103, CPSC 110, APSC 160, EOSC 211, MATH 210, PHYS 210, COMM 337."
CPSC_V 210,Software Construction,"Design, development, and analysis of robust software components. Topics such as software design, computational models, data structures, debugging, and testing. [3-2-0] Prerequisite: One of CPSC 107, CPSC 110."
CPSC_V 213,Introduction to Computer Systems,"Software architecture, operating systems, and I/O architectures. Relationships between application software, operating systems, and computing hardware; critical sections, deadlock avoidance, and performance; principles and operation of disks and networks. [3-3-0] Prerequisite: All of CPSC 121, CPSC 210."
CPSC_V 221,Basic Algorithms and Data Structures,"Design and analysis of basic algorithms and data structures; algorithm analysis methods, searching and sorting algorithms, basic data structures, graphs and concurrency. [3-2-0] Prerequisite: One of CPSC_V 210, CPEN_V 221 and either (a) one of CPSC_V 121, MATH_V 220, MATH_O 220 or (b) a score of 68% or higher in MATH_V 226."
CPSC_V 259,Data Structures and Algorithms for Electrical Engineers,"Advanced procedural programming. Fundamental algorithms for sorting and searching. Data structures including lists, trees, and hash tables. Introduction to scripting languages and file input/output. [3-2-0] Prerequisite: APSC 160."
CPSC_V 298,Co-operative Work Placement I,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during Winter Session of second year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Computer Science.This course is not eligible for Credit/D/Fail grading.
CPSC_V 299,Co-operative Work Placement II,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during the summer following the second year. Technical report required. Restricted to students admitted to the Co-operative Education. Prerequisite: CPSC_V 298.This course is not eligible for Credit/D/Fail grading.
CPSC_V 302,Numerical Computation for Algebraic Problems,"Numerical techniques for basic mathematical processes involving no discretization, and their analysis. Solution of linear systems, including analysis of round-off errors; norms and condition number; introduction to iterative techniques in linear algebra, including eigenvalue problems; solution to nonlinear equations. [3-0-0] Prerequisite: One of CPSC 103, CPSC 110, CPEN 221, EOSC 211, PHYS 210 and one of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001 and one of MATH 152, MATH 221, MATH 223."
CPSC_V 303,Numerical Approximation and Discretization,"Numerical techniques for basic mathematical processes involving discretization, and their analysis. Interpolation and approximation, including splines and least squares data fitting; numerical differentiation and integration; introduction to numerical initial value ordinary differential equations. [3-0-0] Prerequisite: One of CPSC 103, CPSC 110, CPEN 221, EOSC 211, PHYS 210 and one of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001 and one of MATH 152, MATH 221, MATH 223."
CPSC_V 304,Introduction to Relational Databases,"Overview of database systems, ER models, logical database design and normalization, formal relational query languages, SQL and other commercial languages, data warehouses, special topics. [3-0-1] Prerequisite: CPSC_V 221 or DSCI_V 221."
CPSC_V 310,Introduction to Software Engineering,"Specification, design, validation, evolution and construction of modern software systems, within the context of socially and professionally relevant domains such as ethics, intellectual property, and information security. [3-2-0] Prerequisite: All of CPSC 213, CPSC 221."
CPSC_V 311,Definition of Programming Languages,"Comparative study of advanced programming language features. Statement types, data types, variable binding, parameter passing mechanisms. Methods for syntactic and semantic description of programming languages. [3-0-1] Prerequisite: CPSC 210."
CPSC_V 312,Functional and Logic Programming,"Principles of symbolic computing, using languages based upon first-order logic and the lambda calculus. Algorithms for implementing such languages. Applications to artificial intelligence and knowledge representation. [3-0-0] Prerequisite: One of CPSC 210, CPEN 221."
CPSC_V 313,Computer Hardware and Operating Systems,"Instruction sets, pipelining, code optimization, caching, virtual memory management, dynamically linked libraries, exception processing, execution time of programs. [3-0-1] Prerequisite: CPSC_V 213 and either CPSC_V 221 or DSCI_V 221."
CPSC_V 314,Computer Graphics,"Human vision and colour; geometric transformations; algorithms for 2-D and 3-D graphics; hardware and system architectures; shading and lighting; animation. [3-1-0] Prerequisite: CPSC_V 221 and one of MATH_V 200, MATH_V 217, MATH_V 226, MATH_V 253, MATH_O 200 and one of MATH_V 152, MATH_V 221, MATH_V 223, MATH_O 222."
CPSC_V 317,Introduction to Computer Networking,"Computer networking, basic communication protocols, network infrastructure and routing. Common application-level protocols and principles associated with developing distributed applications. [3-0-1] Prerequisite: CPSC_V 213 and either CPSC_V 221 or DSCI_V 221."
CPSC_V 319,Software Engineering Project,"The design, implementation, and test of a large software system, using a team approach. [3-0-2] Prerequisite: CPSC 310."
CPSC_V 320,Intermediate Algorithm Design and Analysis,"Systematic study of basic concepts and techniques in the design and analysis of algorithms, illustrated from various problem areas. Topics include models of computation; choice of data structures; and graph-theoretic, algebraic, and text processing algorithms. [3-0-1] Prerequisite: All of (a) CPSC_V 221 or DSCI_V 221, (b) at least 3 credits from MATH_V or STAT_V at 200 level or above or MATH_O 200, MATH_O 220, MATH_O 222, MATH_O 225, MATH_O 307, STAT_O 121, STAT_O 203, STAT_O 205, STAT_O 230, STAT_O 303 or any course on the STAT_V 200 credit exclusion:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…or HES_O 340, HMKN_O 205, POLI_O 400, PSYO_O 271, STAT_O 124."
CPSC_V 322,Introduction to Artificial Intelligence,Problem-solving and planning. State/action models and graph searching. Natural language understanding. Computational vision. Applications of artificial intelligence. [3-0-0] Prerequisite: Either CPSC_V 221 or DSCI_V 221. Equivalency: AI_V 322.
CPSC_V 330,Applied Machine Learning,"Application of machine learning tools, with an emphasis on solving practical problems. Data cleaning, feature extraction, supervised and unsupervised machine learning, reproducible workflows, and communicating results. [3-0-1] Prerequisite: Either (a) one of CPSC_V 203, CPSC_V 210, CPEN_V 221, DSCI_V 221 or (b) MATH_V 210 and one of CPSC_V 107, CPSC_V 110."
CPSC_V 337,Introduction to Computer Security,"Fundamentals of computer security and privacy. Cryptography, network security, and application security. Security assessments, problem diagnosis, defensive strategies. Impacts and outcomes of security design decisions. [3-1-0] Prerequisites: CPSC_V 213."
CPSC_V 340,Machine Learning and Data Mining,"Models of algorithms for dimensionality reduction, nonlinear regression, classification, clustering and unsupervised learning; applications to computer graphics, computer games, bio-informatics, information retrieval, e-commerce, databases, computer vision and artificial intelligence. [3-0-1] Prerequisite: All of (a) one of CPSC_V 221, DSCI_V 221 (b) one of MATH_V 152, MATH_V 221, MATH_V 223, MATH_O 222 (c) one of MATH_V 200, MATH_V 217, MATH_V 226, MATH_V 253, MATH_V 254, MATH_O 200 (d) one of STAT_V 241, STAT_V 251, ECON_V 325, ECON_V 327, MATH_V 302, STAT_V 302, MATH_V 318, STAT_O 302."
CPSC_V 344,Introduction to Human Computer Interaction Methods,"Basic tools and techniques, teaching a systematic approach to interface design, task analysis, analytic and empirical evaluation methods. [2-2-2] Prerequisite: One of CPSC 210, CPEN 221."
CPSC_V 349,Honours Research Seminar,"Students will attend a series of research seminars presented by faculty members, produce a thesis proposal, and choose their honours thesis supervisor. Available to Honours students. Majors students with satisfactory standing may also be permitted to enrol. [1-0-0]This course is not eligible for Credit/D/Fail grading."
CPSC_V 368,Databases in Data Science,"Overview of relational and non-relational database systems, role and usage of a database when querying data, data modelling, query languages, and query optimization. [3-0-1] Prerequisite: One of CPSC_V 203, CPSC_V 210, CPEN_V 221, DSCI_V 221."
CPSC_V 398,Co-operative Work Placement III,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during the summer following the third year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Computer Science.This course is not eligible for Credit/D/Fail grading.
CPSC_V 399,Co-operative Work Placement IV,Approved and supervised technical work experience in the computing industry for a minimum of 3.5 months. Normally taken during the fall term of the fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Computer Science.This course is not eligible for Credit/D/Fail grading.
CPSC_V 402,Numerical Linear Algebra,"Investigation of the practical techniques of computational linear algebra. Orthogonal transformations and their application to the solution of linear equations, the eigenproblem, and linear least squares. Complete solution of the symmetric eigenproblem, including bisection and the QR method. Refinements of these techniques for sparse matrices. [3-0-0] Prerequisite: One of CPSC 302, CPSC 303, MATH 307."
CPSC_V 404,Advanced Relational Databases,"Physical database design, indexing, external mergesort, relational query processing and optimization, transaction processing, concurrency control, crash recovery, special topics. [3-0-0] Prerequisite: CPSC 304 and one of CPSC 213, CPSC 261, CPEN 212."
CPSC_V 406,Computational Optimization,"Formulation and analysis of algorithms for continuous and discrete optimization problems; linear, nonlinear, network, dynamic, and integer optimization; large-scale problems; software packages and their implementation; duality theory and sensitivity. [3-0] Prerequisite: One of CPSC 302, CPSC 303, MATH 307."
CPSC_V 410,Advanced Software Engineering,"Specification, design, construction and validation of multi-version software systems. [3-0-0] Prerequisite: Either (a) CPSC 310 or (b) all of CPEN 321, CPEN 331."
CPSC_V 411,Introduction to Compiler Construction,"A practical introduction to lexical analysis, syntactic analysis, type-checking, code generation and optimization. This will be used to design and implement a compiler for a small language. [3-0-0] Prerequisite: All of CPSC 213, CPSC 221, CPSC 311."
CPSC_V 415,Operating Systems Design and Implementation,"Team-based design and implementation of a complete operating system, with emphasis on applicability to modern hardware and the practical implementation of operating systems concepts. [2-1-2] Prerequisite: All of the following with a minimum grade of 76% in each of: (a) CPSC_V 310 or CPEN_V 321, (b) CPSC_V 313 or CPEN_V 331, and (c) CPSC_V 317 or ELEC_V 331."
CPSC_V 416,Distributed Systems,"Concepts and design of distributed systems. Communication architecture and models for interprocess communication. Process migration, naming, distributed file systems, fault tolerance, and concurrency control. [3-0-0] Prerequisite: One of CPSC 313, CPEN 331 and one of CPSC 317, ELEC 331."
CPSC_V 417,Computer Networking,"Network protocols and architecture including internetworking, the Internet, layered communication protocols, routing, flow and congestion control, network performance, wired and wireless data communication. [3-0] Prerequisite: All of CPSC_V 313, CPSC_V 317."
CPSC_V 418,Parallel Computation,"Algorithms, architectures, and programming paradigms for parallel computation. Shared memory, message passing, and data parallel architectures and programming models. Parallel algorithms including reduce, scan, and sorting networks. Reasoning about the correctness of parallel programs. Performance analysis and measurement for parallel programs. [3-0-0] Prerequisite: CPSC 320 and one of CPSC 261, CPSC 313, CPEN 212, CPEN 411."
CPSC_V 420,Advanced Algorithms Design and Analysis,The study of advanced topics in the design and analysis of algorithms and associated data structures. Topics include algorithms for graph-theoretic; algebraic and geometric problems; algorithms on nonsequential models; complexity issues; approximation algorithms. [3-0-0] Prerequisite: [CPSC320]
CPSC_V 421,Introduction to Theory of Computing,"Characterizations of computability (using machines, languages and functions). Universality, equivalence and Church's thesis. Unsolvable problems. Restricted models of computation. Finite automata, grammars and formal languages. [3-0-0] Prerequisite: One of CPSC 320 or MATH 220 or MATH 226."
CPSC_V 423,Natural Language Processing,"Fundamentals of data-driven natural language processing, including applications (machine translation, summarization, question answering), text representations (word embeddings, language models), and statistical and neural-network methods. [3-0-0] Prerequisites: Either CPSC_V 340 or both (a) one of AI_V 240, CPSC_V 330 and (b) one of STAT_V 200, STAT_V 251, ECON_V 325, ECON_V 327, MATH_V 302, STAT_V 302, MATH_V 318."
CPSC_V 424,Geometric Modelling,"Digital representation of curves and surfaces, including splines, subdivision surfaces and meshes. Principles, algorithms and mathematical foundations for geometry representation in computer graphics, computer vision, fabrication, CAD/CAM, and medical imaging. Algorithms for acquisition, creation, representation, and processing of 3D shapes. [3-0-1] Prerequisite: One of MATH 152, MATH 221, MATH 223 and one of MATH 200, MATH 217, MATH 226, MATH 253."
CPSC_V 425,Computer Vision,"Introduction to the processing and interpretation of images. Image sensing, sampling, and filtering. Algorithms for colour analysis, texture description, stereo imaging, motion interpretation, 3D shape recovery, and recognition. [3-0-0] Prerequisite: CPSC_V 221 and one of MATH_V 200, MATH_V 217, MATH_V 226, MATH_V 253, MATH_V 254 and one of MATH_V 111, MATH_V 131, MATH_V 152, MATH_V 221, MATH_V 223."
CPSC_V 426,Computer Animation,"Motion in computer graphics for characters and their environments. Keyframing, inverse kinematics, particle systems, rigid body dynamics, contact and collision, controller-based active motion, motion capture. [3-0-0] Prerequisite: CPSC 314."
CPSC_V 427,Video Game Programming,"Video game programming techniques and technologies, including rendering, animation, interaction, game AI, real-time software development for games; start-to-finish simple video-game design and implementation. [1.5–1.5-1] Prerequisites: CPSC_V 314 and one of MATH_V 200, MATH_V 217, MATH_V 226, MATH_V 253 and one of MATH_V 152, MATH_V 221, MATH_V 223."
